"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Bisbaumannia_pacifica_CARE-V15","Bisbaumannia_pacifica_M31","Bisbaumannia_pacifica_NBRC_102220","Halomonas_salifodinae_A2","Halomonas_salifodinae_IM328","Halomonas_salifodinae_JCM_14803"
"dppC","","Dipeptide transport system permease protein DppC","6","6","1","1","2403","","","","950","956","954","Bisbaumannia_00415","ac2c10d1bfd924169bd1a7f9d07d0dbc_3406","GCA_007989625.1_ASM798962v1_genomic_00913","A2_00808","Halomonas_salifodinae_01796","9e3420b4b005a41cf6998e0a1df74e45_2058"
"yciK","","putative oxidoreductase YciK","6","6","1","1","2434","","","","761","761","761","Bisbaumannia_00431","ac2c10d1bfd924169bd1a7f9d07d0dbc_3390","GCA_007989625.1_ASM798962v1_genomic_00929","A2_00824","Halomonas_salifodinae_01812","9e3420b4b005a41cf6998e0a1df74e45_2076"
"group_1063","","hypothetical protein","6","6","1","1","5646","","","","839","839","839","Bisbaumannia_00443","ac2c10d1bfd924169bd1a7f9d07d0dbc_3265","GCA_007989625.1_ASM798962v1_genomic_02151","A2_03543","Halomonas_salifodinae_00149","9e3420b4b005a41cf6998e0a1df74e45_572"
"group_1065","","hypothetical protein","6","6","1","1","5653","","","","1481","1487","1483","Bisbaumannia_00450","ac2c10d1bfd924169bd1a7f9d07d0dbc_3258","GCA_007989625.1_ASM798962v1_genomic_02158","A2_03536","Halomonas_salifodinae_00156","9e3420b4b005a41cf6998e0a1df74e45_579"
"hldE","","Bifunctional protein HldE","6","6","1","1","6108","","","","1430","1430","1430","Bisbaumannia_00454","ac2c10d1bfd924169bd1a7f9d07d0dbc_3254","GCA_007989625.1_ASM798962v1_genomic_02162","A2_01318","Halomonas_salifodinae_00017","9e3420b4b005a41cf6998e0a1df74e45_430"
"gyrB","","DNA gyrase subunit B","6","6","1","1","6127","","","","2420","2420","2420","Bisbaumannia_00467","ac2c10d1bfd924169bd1a7f9d07d0dbc_3241","GCA_007989625.1_ASM798962v1_genomic_02175","A2_01330","Halomonas_salifodinae_00004","9e3420b4b005a41cf6998e0a1df74e45_417"
"dnaN","","Beta sliding clamp","6","6","1","1","6129","","","","1106","1106","1106","Bisbaumannia_00469","ac2c10d1bfd924169bd1a7f9d07d0dbc_3239","GCA_007989625.1_ASM798962v1_genomic_02177","A2_01332","Halomonas_salifodinae_00002","9e3420b4b005a41cf6998e0a1df74e45_415"
"group_107","","hypothetical protein","6","6","1","1","7639","","","","1070","1073","1072","Bisbaumannia_00690","ac2c10d1bfd924169bd1a7f9d07d0dbc_2731","GCA_007989625.1_ASM798962v1_genomic_01679","A2_03162","Halomonas_salifodinae_02487","9e3420b4b005a41cf6998e0a1df74e45_2904"
"hemL","","Glutamate-1-semialdehyde 2,1-aminomutase","6","6","1","1","6142","","","","1289","1289","1289","Bisbaumannia_00480","ac2c10d1bfd924169bd1a7f9d07d0dbc_3228","GCA_007989625.1_ASM798962v1_genomic_02188","A2_01343","Halomonas_salifodinae_03638","9e3420b4b005a41cf6998e0a1df74e45_404"
"glnP","","Glutamine transport system permease protein GlnP","6","6","1","1","6153","","","","671","671","671","Bisbaumannia_00488","ac2c10d1bfd924169bd1a7f9d07d0dbc_3220","GCA_007989625.1_ASM798962v1_genomic_01459","A2_01351","Halomonas_salifodinae_03630","9e3420b4b005a41cf6998e0a1df74e45_396"
"soj","","Sporulation initiation inhibitor protein Soj","6","6","1","1","6158","","","","770","770","770","Bisbaumannia_00492","ac2c10d1bfd924169bd1a7f9d07d0dbc_3216","GCA_007989625.1_ASM798962v1_genomic_01463","A2_01355","Halomonas_salifodinae_03626","9e3420b4b005a41cf6998e0a1df74e45_392"
"atpA","","ATP synthase subunit alpha","6","6","1","1","6171","","","","1544","1544","1544","Bisbaumannia_00499","ac2c10d1bfd924169bd1a7f9d07d0dbc_3209","GCA_007989625.1_ASM798962v1_genomic_01470","A2_01362","Halomonas_salifodinae_03619","9e3420b4b005a41cf6998e0a1df74e45_385"
"group_1078","hexR_1","HTH-type transcriptional regulator HexR","6","6","1","1","6187","","","","863","866","865","Bisbaumannia_00512","ac2c10d1bfd924169bd1a7f9d07d0dbc_3196","GCA_007989625.1_ASM798962v1_genomic_01483","A2_01377","Halomonas_salifodinae_03604","9e3420b4b005a41cf6998e0a1df74e45_372"
"group_1079","","putative acyl-CoA thioester hydrolase","6","6","1","1","6190","","","","404","404","404","Bisbaumannia_00515","ac2c10d1bfd924169bd1a7f9d07d0dbc_3193","GCA_007989625.1_ASM798962v1_genomic_01486","A2_01380","Halomonas_salifodinae_03601","9e3420b4b005a41cf6998e0a1df74e45_369"
"dmdC_2","","3-methylmercaptopropionyl-CoA dehydrogenase","6","6","1","1","7642","","","","1811","1811","1811","Bisbaumannia_00694","ac2c10d1bfd924169bd1a7f9d07d0dbc_2727","GCA_007989625.1_ASM798962v1_genomic_01683","A2_03166","Halomonas_salifodinae_02491","9e3420b4b005a41cf6998e0a1df74e45_2907"
"phoU","","Phosphate-specific transport system accessory protein PhoU ","6","6","1","1","6196","","","","722","728","726","Bisbaumannia_00520","ac2c10d1bfd924169bd1a7f9d07d0dbc_3188","GCA_007989625.1_ASM798962v1_genomic_01491","A2_01385","Halomonas_salifodinae_03596","9e3420b4b005a41cf6998e0a1df74e45_364"
"hup","","DNA-binding protein HU","6","6","1","1","6206","","","","275","275","275","Bisbaumannia_00527","ac2c10d1bfd924169bd1a7f9d07d0dbc_3181","GCA_007989625.1_ASM798962v1_genomic_01498","A2_01392","Halomonas_salifodinae_03589","9e3420b4b005a41cf6998e0a1df74e45_357"
"oxyR_1","","Hydrogen peroxide-inducible genes activator","6","6","1","1","6209","","","","914","914","914","Bisbaumannia_00530","ac2c10d1bfd924169bd1a7f9d07d0dbc_3178","GCA_007989625.1_ASM798962v1_genomic_01501","A2_01395","Halomonas_salifodinae_03586","9e3420b4b005a41cf6998e0a1df74e45_354"
"yabJ_2","","2-iminobutanoate/2-iminopropanoate deaminase","6","6","1","1","6213","","","","389","389","389","Bisbaumannia_00534","ac2c10d1bfd924169bd1a7f9d07d0dbc_3174","GCA_007989625.1_ASM798962v1_genomic_01505","A2_01399","Halomonas_salifodinae_03582","9e3420b4b005a41cf6998e0a1df74e45_350"
"spoT","","Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase","6","6","1","1","6214","","","","2138","2138","2138","Bisbaumannia_00535","ac2c10d1bfd924169bd1a7f9d07d0dbc_3173","GCA_007989625.1_ASM798962v1_genomic_01506","A2_01400","Halomonas_salifodinae_03581","9e3420b4b005a41cf6998e0a1df74e45_349"
"group_109","","putative oxidoreductase","6","6","1","1","7644","","","","767","773","768","Bisbaumannia_00696","ac2c10d1bfd924169bd1a7f9d07d0dbc_2725","GCA_007989625.1_ASM798962v1_genomic_01685","A2_03168","Halomonas_salifodinae_02493","9e3420b4b005a41cf6998e0a1df74e45_2909"
"potD","","Spermidine/putrescine-binding periplasmic protein","6","6","1","1","6265","","","","1115","1115","1115","Bisbaumannia_00556","ac2c10d1bfd924169bd1a7f9d07d0dbc_3152","GCA_007989625.1_ASM798962v1_genomic_01527","A2_01421","Halomonas_salifodinae_03560","9e3420b4b005a41cf6998e0a1df74e45_320"
"ydcV_1","","Inner membrane ABC transporter permease protein YdcV","6","6","1","1","6268","","","","800","800","800","Bisbaumannia_00559","ac2c10d1bfd924169bd1a7f9d07d0dbc_3149","GCA_007989625.1_ASM798962v1_genomic_01530","A2_01424","Halomonas_salifodinae_03557","9e3420b4b005a41cf6998e0a1df74e45_317"
"hisM_2","","Histidine transport system permease protein HisM","6","6","1","1","6277","","","","725","725","725","Bisbaumannia_00563","ac2c10d1bfd924169bd1a7f9d07d0dbc_3145","GCA_007989625.1_ASM798962v1_genomic_01534","A2_01430","Halomonas_salifodinae_03552","9e3420b4b005a41cf6998e0a1df74e45_312"
"kce","","3-keto-5-aminohexanoate cleavage enzyme","6","6","1","1","6310","","","","908","920","914","Bisbaumannia_00576","ac2c10d1bfd924169bd1a7f9d07d0dbc_3132","GCA_007989625.1_ASM798962v1_genomic_01547","A2_01462","Halomonas_salifodinae_03531","9e3420b4b005a41cf6998e0a1df74e45_296"
"group_1098","","hypothetical protein","6","6","1","1","6348","","","","383","383","383","Bisbaumannia_00589","ac2c10d1bfd924169bd1a7f9d07d0dbc_3119","GCA_007989625.1_ASM798962v1_genomic_03526","A2_01484","Halomonas_salifodinae_03509","9e3420b4b005a41cf6998e0a1df74e45_279"
"ramA_1","","(R)-stereoselective amidase","6","6","1","1","7438","","","","899","899","899","Bisbaumannia_00634","ac2c10d1bfd924169bd1a7f9d07d0dbc_2839","GCA_007989625.1_ASM798962v1_genomic_01632","A2_03315","Halomonas_salifodinae_02404","9e3420b4b005a41cf6998e0a1df74e45_2878"
"group_111","","hypothetical protein","6","6","1","1","7706","","","","446","449","448","Bisbaumannia_00724","ac2c10d1bfd924169bd1a7f9d07d0dbc_2697","GCA_007989625.1_ASM798962v1_genomic_03074","A2_03200","Halomonas_salifodinae_02523","9e3420b4b005a41cf6998e0a1df74e45_2939"
"betI_1","","HTH-type transcriptional regulator BetI","6","6","1","1","7505","","","","599","599","599","Bisbaumannia_00641","ac2c10d1bfd924169bd1a7f9d07d0dbc_2773","GCA_007989625.1_ASM798962v1_genomic_01639","A2_03322","Halomonas_salifodinae_02411","9e3420b4b005a41cf6998e0a1df74e45_2885"
"betA","","Oxygen-dependent choline dehydrogenase","6","6","1","1","7508","","","","1697","1703","1702","Bisbaumannia_00643","ac2c10d1bfd924169bd1a7f9d07d0dbc_2771","GCA_007989625.1_ASM798962v1_genomic_01641","A2_03324","Halomonas_salifodinae_02413","9e3420b4b005a41cf6998e0a1df74e45_2887"
"occM","","Octopine transport system permease protein OccM","6","6","1","1","7526","","","","776","779","778","Bisbaumannia_00650","ac2c10d1bfd924169bd1a7f9d07d0dbc_2764","GCA_007989625.1_ASM798962v1_genomic_01648","A2_03332","Halomonas_salifodinae_02420","9e3420b4b005a41cf6998e0a1df74e45_2957"
"qorA","","Quinone oxidoreductase 1","6","6","1","1","7553","","","","977","977","977","Bisbaumannia_00663","ac2c10d1bfd924169bd1a7f9d07d0dbc_2757","GCA_007989625.1_ASM798962v1_genomic_01655","A2_03345","Halomonas_salifodinae_02437","9e3420b4b005a41cf6998e0a1df74e45_2980"
"pomA_2","","Chemotaxis protein PomA","6","6","1","1","7556","","","","809","809","809","Bisbaumannia_00666","ac2c10d1bfd924169bd1a7f9d07d0dbc_2754","GCA_007989625.1_ASM798962v1_genomic_01658","A2_03348","Halomonas_salifodinae_02440","9e3420b4b005a41cf6998e0a1df74e45_2983"
"betB_1","","NAD/NADP-dependent betaine aldehyde dehydrogenase","6","6","1","1","5703","","","","1466","1466","1466","Bisbaumannia_00751","ac2c10d1bfd924169bd1a7f9d07d0dbc_3712","GCA_007989625.1_ASM798962v1_genomic_00699","A2_02914","Halomonas_salifodinae_00192","9e3420b4b005a41cf6998e0a1df74e45_609"
"kstR2","","HTH-type transcriptional repressor KstR2","6","6","1","1","7647","","","","569","569","569","Bisbaumannia_00698","ac2c10d1bfd924169bd1a7f9d07d0dbc_2723","GCA_007989625.1_ASM798962v1_genomic_01687","A2_03171","Halomonas_salifodinae_02496","9e3420b4b005a41cf6998e0a1df74e45_2911"
"xerC","","Tyrosine recombinase XerC","6","6","1","1","5760","","","","920","920","920","Bisbaumannia_00791","ac2c10d1bfd924169bd1a7f9d07d0dbc_3752","GCA_007989625.1_ASM798962v1_genomic_00739","A2_02874","Halomonas_salifodinae_00231","9e3420b4b005a41cf6998e0a1df74e45_648"
"fpr","","Ferredoxin--NADP reductase","6","6","1","1","5680","","","","776","776","776","Bisbaumannia_00732","ac2c10d1bfd924169bd1a7f9d07d0dbc_3693","GCA_007989625.1_ASM798962v1_genomic_00680","A2_02933","Halomonas_salifodinae_00173","9e3420b4b005a41cf6998e0a1df74e45_590"
"pldh-t","","Pyridoxal 4-dehydrogenase","6","6","1","1","5685","","","","758","758","758","Bisbaumannia_00737","ac2c10d1bfd924169bd1a7f9d07d0dbc_3698","GCA_007989625.1_ASM798962v1_genomic_00685","A2_02928","Halomonas_salifodinae_00178","9e3420b4b005a41cf6998e0a1df74e45_595"
"dctM_7","","C4-dicarboxylate TRAP transporter large permease protein DctM","6","6","1","1","5694","","","","1316","1316","1316","Bisbaumannia_00743","ac2c10d1bfd924169bd1a7f9d07d0dbc_3704","GCA_007989625.1_ASM798962v1_genomic_00691","A2_02922","Halomonas_salifodinae_00184","9e3420b4b005a41cf6998e0a1df74e45_601"
"baiA","","3-alpha-hydroxycholanate dehydrogenase (NADP(+))","6","6","1","1","5701","","","","794","794","794","Bisbaumannia_00749","ac2c10d1bfd924169bd1a7f9d07d0dbc_3710","GCA_007989625.1_ASM798962v1_genomic_00697","A2_02916","Halomonas_salifodinae_00190","9e3420b4b005a41cf6998e0a1df74e45_607"
"group_114","","hypothetical protein","6","6","1","1","5823","","","","1019","1019","1019","Bisbaumannia_00833","ac2c10d1bfd924169bd1a7f9d07d0dbc_3790","GCA_007989625.1_ASM798962v1_genomic_00777","A2_02836","Halomonas_salifodinae_00259","9e3420b4b005a41cf6998e0a1df74e45_675"
"glnK_2","","Nitrogen regulatory protein P-II 2","6","6","1","1","5710","","","","338","338","338","Bisbaumannia_00757","ac2c10d1bfd924169bd1a7f9d07d0dbc_3718","GCA_007989625.1_ASM798962v1_genomic_00705","A2_02908","Halomonas_salifodinae_00198","9e3420b4b005a41cf6998e0a1df74e45_615"
"group_1142","","hypothetical protein","6","6","1","1","5722","","","","200","200","200","Bisbaumannia_00765","ac2c10d1bfd924169bd1a7f9d07d0dbc_3726","GCA_007989625.1_ASM798962v1_genomic_00713","A2_02900","Halomonas_salifodinae_00206","9e3420b4b005a41cf6998e0a1df74e45_623"
"teaD_1","","TRAP-T-associated universal stress protein TeaD","6","6","1","1","5732","","","","440","440","440","Bisbaumannia_00772","ac2c10d1bfd924169bd1a7f9d07d0dbc_3733","GCA_007989625.1_ASM798962v1_genomic_00720","A2_02893","Halomonas_salifodinae_00213","9e3420b4b005a41cf6998e0a1df74e45_630"
"carA","","Carbamoyl-phosphate synthase small chain","6","6","1","1","6047","","","","1145","1145","1145","Bisbaumannia_00838","ac2c10d1bfd924169bd1a7f9d07d0dbc_3795","GCA_007989625.1_ASM798962v1_genomic_00782","A2_02831","Halomonas_salifodinae_00264","9e3420b4b005a41cf6998e0a1df74e45_685"
"pasT","","Persistence and stress-resistance toxin PasT","6","6","1","1","5802","","","","437","437","437","Bisbaumannia_00818","ac2c10d1bfd924169bd1a7f9d07d0dbc_3779","GCA_007989625.1_ASM798962v1_genomic_00766","A2_02847","Halomonas_salifodinae_00248","9e3420b4b005a41cf6998e0a1df74e45_664"
"dnaK","","Chaperone protein DnaK","6","6","1","1","5810","","","","1931","1931","1931","Bisbaumannia_00824","ac2c10d1bfd924169bd1a7f9d07d0dbc_3785","GCA_007989625.1_ASM798962v1_genomic_00772","A2_02841","Halomonas_salifodinae_00254","9e3420b4b005a41cf6998e0a1df74e45_670"
"greA","","Transcription elongation factor GreA","6","6","1","1","6045","","","","476","476","476","Bisbaumannia_00840","ac2c10d1bfd924169bd1a7f9d07d0dbc_3797","GCA_007989625.1_ASM798962v1_genomic_00784","A2_02829","Halomonas_salifodinae_00266","9e3420b4b005a41cf6998e0a1df74e45_687"
"yhbY","","RNA-binding protein YhbY","6","6","1","1","6044","","","","326","326","326","Bisbaumannia_00841","ac2c10d1bfd924169bd1a7f9d07d0dbc_3798","GCA_007989625.1_ASM798962v1_genomic_00785","A2_02828","Halomonas_salifodinae_00267","9e3420b4b005a41cf6998e0a1df74e45_688"
"ftsH","","ATP-dependent zinc metalloprotease FtsH","6","6","1","1","6042","","","","1985","1985","1985","Bisbaumannia_00843","ac2c10d1bfd924169bd1a7f9d07d0dbc_3800","GCA_007989625.1_ASM798962v1_genomic_00787","A2_02826","Halomonas_salifodinae_00269","9e3420b4b005a41cf6998e0a1df74e45_690"
"rimP","","Ribosome maturation factor RimP","6","6","1","1","6035","","","","461","461","461","Bisbaumannia_00850","ac2c10d1bfd924169bd1a7f9d07d0dbc_3807","GCA_007989625.1_ASM798962v1_genomic_00794","A2_02819","Halomonas_salifodinae_00276","9e3420b4b005a41cf6998e0a1df74e45_697"
"folP","","Dihydropteroate synthase","6","6","1","1","6041","","","","863","863","863","Bisbaumannia_00844","ac2c10d1bfd924169bd1a7f9d07d0dbc_3801","GCA_007989625.1_ASM798962v1_genomic_00788","A2_02825","Halomonas_salifodinae_00270","9e3420b4b005a41cf6998e0a1df74e45_691"
"nrdR","","Transcriptional repressor NrdR","6","6","1","1","9233","","","","476","476","476","Bisbaumannia_00921","ac2c10d1bfd924169bd1a7f9d07d0dbc_2202","GCA_007989625.1_ASM798962v1_genomic_03417","A2_01057","Halomonas_salifodinae_00909","9e3420b4b005a41cf6998e0a1df74e45_722"
"yrfG","","GMP/IMP nucleotidase YrfG","6","6","1","1","9257","","","","668","668","668","Bisbaumannia_00937","ac2c10d1bfd924169bd1a7f9d07d0dbc_2186","GCA_007989625.1_ASM798962v1_genomic_03390","A2_01041","Halomonas_salifodinae_00925","9e3420b4b005a41cf6998e0a1df74e45_738"
"mqo","","Malate:quinone oxidoreductase","6","6","1","1","9270","","","","1397","1397","1397","Bisbaumannia_00946","ac2c10d1bfd924169bd1a7f9d07d0dbc_2177","GCA_007989625.1_ASM798962v1_genomic_03175","A2_01032","Halomonas_salifodinae_00934","9e3420b4b005a41cf6998e0a1df74e45_747"
"rppH","","RNA pyrophosphohydrolase","6","6","1","1","9272","","","","497","497","497","Bisbaumannia_00948","ac2c10d1bfd924169bd1a7f9d07d0dbc_2175","GCA_007989625.1_ASM798962v1_genomic_03173","A2_01030","Halomonas_salifodinae_00936","9e3420b4b005a41cf6998e0a1df74e45_749"
"metXS","","Homoserine O-succinyltransferase","6","6","1","1","9079","","","","1154","1154","1154","Bisbaumannia_00965","ac2c10d1bfd924169bd1a7f9d07d0dbc_873","GCA_007989625.1_ASM798962v1_genomic_02398","A2_02945","Halomonas_salifodinae_03332","9e3420b4b005a41cf6998e0a1df74e45_2696"
"rpsT","","30S ribosomal protein S20","6","6","1","1","9112","","","","266","266","266","Bisbaumannia_00991","ac2c10d1bfd924169bd1a7f9d07d0dbc_848","GCA_007989625.1_ASM798962v1_genomic_02373","A2_02970","Halomonas_salifodinae_03358","9e3420b4b005a41cf6998e0a1df74e45_2670"
"rpmA","","50S ribosomal protein L27","6","6","1","1","9114","","","","257","257","257","Bisbaumannia_00994","ac2c10d1bfd924169bd1a7f9d07d0dbc_845","GCA_007989625.1_ASM798962v1_genomic_02370","A2_02973","Halomonas_salifodinae_03361","9e3420b4b005a41cf6998e0a1df74e45_2667"
"fabB","","3-oxoacyl-[acyl-carrier-protein] synthase 1","6","6","1","1","6502","","","","1217","1217","1217","Bisbaumannia_01016","ac2c10d1bfd924169bd1a7f9d07d0dbc_823","GCA_007989625.1_ASM798962v1_genomic_03379","A2_02998","Halomonas_salifodinae_03384","9e3420b4b005a41cf6998e0a1df74e45_2630"
"uvrA","","UvrABC system protein A","6","6","1","1","6496","","","","2861","2861","2861","Bisbaumannia_01021","ac2c10d1bfd924169bd1a7f9d07d0dbc_818","GCA_007989625.1_ASM798962v1_genomic_02667","A2_03003","Halomonas_salifodinae_03389","9e3420b4b005a41cf6998e0a1df74e45_2625"
"rpsM","","30S ribosomal protein S13","6","6","1","1","6491","","","","356","356","356","Bisbaumannia_01026","ac2c10d1bfd924169bd1a7f9d07d0dbc_813","GCA_007989625.1_ASM798962v1_genomic_02672","A2_03008","Halomonas_salifodinae_03394","9e3420b4b005a41cf6998e0a1df74e45_2620"
"secY","","Protein translocase subunit SecY","6","6","1","1","6489","","","","1304","1331","1322","Bisbaumannia_01028","ac2c10d1bfd924169bd1a7f9d07d0dbc_811","GCA_007989625.1_ASM798962v1_genomic_02674","A2_03010","Halomonas_salifodinae_03395","9e3420b4b005a41cf6998e0a1df74e45_2618"
